transaction_id,customer_id,amount,currency,merchant,merchant_category,timestamp,ip_address,device_id,country,is_fraud,channel
TXN000001,CUST0118,80.13,USD,Unknown Merchant,unknown,2025-05-27T11:29:00,41.37.226.176,DEV5901,CA,False,pos
TXN000002,CUST0109,3657.4,USD,CryptoExchange,electronics,2025-02-24T23:59:00,28.121.195.183,DEV5847,DE,False,pos
TXN000003,CUST0076,6843.38,USD,ElectronicsHub,retail,2025-01-02T11:22:00,234.254.146.117,DEV6772,CA,True,web
TXN000004,CUST0163,2008.76,USD,ElectronicsHub,travel,2025-05-18T13:10:00,161.49.20.158,DEV8222,CA,False,web
TXN000005,CUST0149,1055.64,USD,ElectronicsHub,electronics,2025-06-15T14:13:00,45.102.67.187,DEV9697,US,False,pos
TXN000006,CUST0070,2059.48,USD,DarkWebMarket,crypto,2025-05-31T03:07:00,192.173.58.239,DEV2233,US,False,web
TXN000007,CUST0194,6881.82,USD,CryptoExchange,unknown,2025-05-12T20:09:00,94.46.202.7,DEV5332,US,False,pos
TXN000008,CUST0032,5384.26,USD,CryptoExchange,crypto,2025-05-03T09:30:00,28.119.241.12,DEV6374,US,False,pos
TXN000009,CUST0057,5085.05,USD,Unknown Merchant,electronics,2025-03-26T12:24:00,30.71.23.19,DEV5986,UK,False,mobile
TXN000010,CUST0030,7098.64,USD,Unknown Merchant,unknown,2025-01-25T16:43:00,108.79.212.50,DEV9017,UK,False,pos
TXN000011,CUST0105,2241.52,USD,CryptoExchange,electronics,2025-05-06T15:52:00,244.120.185.50,DEV7018,AU,False,pos
TXN000012,CUST0166,3188.13,USD,DarkWebMarket,electronics,2025-02-04T13:17:00,24.108.10.25,DEV6464,DE,False,web
TXN000013,CUST0033,1645.62,USD,Walmart,unknown,2025-06-01T01:31:00,56.119.168.75,DEV1046,CA,False,mobile
TXN000014,CUST0038,4324.02,USD,ElectronicsHub,retail,2025-05-26T08:45:00,34.7.183.121,DEV6304,US,False,web
TXN000015,CUST0045,1018.43,USD,ElectronicsHub,retail,2025-03-18T15:12:00,122.229.185.55,DEV8405,US,False,pos
TXN000016,CUST0057,351.7,USD,ElectronicsHub,unknown,2025-05-23T13:58:00,78.234.15.31,DEV8847,UK,False,mobile
TXN000017,CUST0110,3924.7,USD,Amazon,crypto,2025-06-15T14:32:00,156.75.33.64,DEV5505,US,False,pos
TXN000018,CUST0163,5698.66,USD,TravelAgency,crypto,2025-03-11T08:11:00,117.220.50.58,DEV4522,CA,False,mobile
TXN000019,CUST0116,3313.44,USD,CryptoExchange,retail,2025-05-31T15:02:00,81.218.160.130,DEV7132,CA,False,web
TXN000020,CUST0176,541.73,USD,Amazon,crypto,2025-06-01T10:04:00,208.66.30.168,DEV3002,BR,False,mobile
TXN000021,CUST0091,7529.33,USD,ElectronicsHub,retail,2025-03-18T23:50:00,248.147.159.180,DEV2697,UK,False,pos
TXN000022,CUST0130,5255.61,USD,Unknown Merchant,unknown,2025-02-10T19:44:00,95.58.142.115,DEV8030,CA,False,pos
